Type,Key,Summary,Description,Priority,Story Points,Sprint,Parent,Assignee Role,Labels
Task,T-021,Test deliverable approval workflow including edge cases and notification delivery,,Critical,,Sprint 4,US-007,QA Engineer,"qa,testing"
Story,US-008,"As a Client User, I want to communicate with my project team through threaded messages so that all project discussions are centralized","Provide a messaging/communication feature within the client portal for project-scoped threaded conversations.",Critical,5,Sprint 4,EPIC-002,,"client-portal,messaging,communication"
Task,T-022,Build messaging service with WebSocket real-time delivery and file attachment support,,Critical,,Sprint 4,US-008,Backend Dev,"backend,api"
Task,T-023,Implement threaded messaging component with file attachment and real-time updates,,Critical,,Sprint 4,US-008,Frontend Dev,"frontend,ui"
Task,T-024,"Test messaging delivery, notifications, file attachments, and cross-browser behavior",,Critical,,Sprint 4,US-008,QA Engineer,"qa,testing"
Story,US-009,"As a Client User, I want to view a Gantt-style timeline of my project showing milestones and progress so that I understand the project schedule","Display a project timeline/Gantt-style visualization to client users showing milestone dates, current progress, and upcoming deliverables.",High,5,Sprint 5,EPIC-002,,"client-portal,timeline,visualization"
Task,T-025,"Build timeline data API aggregating milestones, phases, and progress metrics",,High,,Sprint 5,US-009,Backend Dev,"backend,api"
Task,T-026,Implement Gantt chart component with milestone markers and progress visualization,,High,,Sprint 5,US-009,Frontend Dev,"frontend,ui"
Task,T-027,"Test Gantt chart rendering accuracy, date updates, and responsiveness",,High,,Sprint 5,US-009,QA Engineer,"qa,testing"
Story,US-010,"As a Client User, I want to receive automated email notifications for key project events so that I stay informed without logging in","Send automated email notifications to client users for milestone completion, deliverable uploads, approval requests, and message replies.",High,5,Sprint 5,EPIC-002,,"client-portal,notifications,email"
Task,T-028,Build email notification service with event-driven triggers and user preference management,,High,,Sprint 5,US-010,Backend Dev,"backend,api"
Task,T-029,Implement email notification preference settings UI in client portal,,High,,Sprint 5,US-010,Frontend Dev,"frontend,ui"
Task,T-030,"Test email delivery for all event types, preference enforcement, and link deep-linking",,High,,Sprint 5,US-010,QA Engineer,"qa,testing"
Epic,EPIC-003,Time Tracking & Invoicing,"Billable/non-billable time tracking with timers, configurable billing rates, approval workflows, timesheet views, and automated invoice generation.",Critical,,,,,"time-tracking,invoicing"
Story,US-011,"As a Team Member, I want to log billable and non-billable hours using a start/stop timer or manual entry so that my time is accurately captured","Provide time tracking with start/stop timer and manual entry options for billable and non-billable hours against projects and tasks.",Critical,8,Sprint 3,EPIC-003,,"time-tracking,timer,core"
Task,T-031,Build time entry service with timer state management and manual entry APIs,,Critical,,Sprint 3,US-011,Backend Dev,"backend,api"
Task,T-032,Implement timer widget persistent across navigation and manual time entry form,,Critical,,Sprint 3,US-011,Frontend Dev,"frontend,ui"
Task,T-033,"Test timer accuracy, persistence, manual entry validation, and edge cases",,Critical,,Sprint 3,US-011,QA Engineer,"qa,testing"
Story,US-012,"As a Finance Manager, I want the system to generate draft invoices from approved time entries so that billing is accurate and automated","Automatically generate draft invoices from approved time entries with billing rate calculations and manual adjustment support.",Critical,8,Sprint 7,EPIC-003,,"invoicing,billing,automation"
Task,T-034,Build invoice generation engine aggregating approved time entries with billing rate application,,Critical,,Sprint 7,US-012,Backend Dev,"backend,api"
Task,T-035,"Implement invoice generation wizard with line item editing, adjustment, and finalization UI",,Critical,,Sprint 7,US-012,Frontend Dev,"frontend,ui"
Task,T-036,"Test invoice calculation accuracy against time entries and billing rates, immutability after finalization",,Critical,,Sprint 7,US-012,QA Engineer,"qa,testing"
Story,US-013,"As an Administrator, I want to configure billing rates at global, client, and project levels so that invoicing reflects our pricing structure","Support configurable billing rates per project, per team member role, and per client with hierarchical overrides.",Critical,5,Sprint 3,EPIC-003,,"billing,configuration,rates"
Task,T-037,Build billing rate hierarchy engine with cascading override logic,,Critical,,Sprint 3,US-013,Backend Dev,"backend,api"
Task,T-038,"Implement billing rate configuration UI for global, client, and project levels",,Critical,,Sprint 3,US-013,Frontend Dev,"frontend,ui"
Task,T-039,Test billing rate override precedence validation across all levels,,Critical,,Sprint 3,US-013,QA Engineer,"qa,testing"
Story,US-014,"As a Team Lead, I want to review and approve time entries before they are included in invoices so that billing accuracy is ensured","Provide time entry approval workflow where approvers can approve, reject, or request modification.",High,5,Sprint 3,EPIC-003,,"time-tracking,approval,workflow"
Task,T-040,Build time entry approval workflow state machine with notification triggers,,High,,Sprint 3,US-014,Backend Dev,"backend,api"
Task,T-041,"Implement approval queue view with approve, reject, and request modification actions",,High,,Sprint 3,US-014,Frontend Dev,"frontend,ui"
Task,T-042,Test approval workflow edge cases including reject-resubmit cycles,,High,,Sprint 3,US-014,QA Engineer,"qa,testing"
Story,US-015,"As a Team Member, I want to view weekly and monthly timesheets with project breakdowns so that I can track my utilization","Provide timesheet views showing weekly and monthly summaries per team member with billable/non-billable breakdown.",High,5,Sprint 3,EPIC-003,,"time-tracking,timesheet,reporting"
Task,T-043,Build timesheet aggregation queries with billable/non-billable breakdowns and export,,High,,Sprint 3,US-015,Backend Dev,"backend,api"
Task,T-044,Implement timesheet grid with weekly/monthly toggle and export functionality,,High,,Sprint 3,US-015,Frontend Dev,"frontend,ui"
Task,T-045,Test timesheet calculation accuracy and export format validation,,High,,Sprint 3,US-015,QA Engineer,"qa,testing"
Epic,EPIC-004,Resource Management,"Visual resource allocation board, team assignment management with capacity conflict detection, and capacity forecasting.",High,,,,,"resource-management"
Story,US-016,"As a Project Manager, I want to view a visual resource allocation board showing team utilization so that I can identify availability and overallocation","Provide a visual resource allocation board showing all team members with utilization rates and availability windows.",High,5,Sprint 5,EPIC-004,,"resource-management,visualization,allocation"
Task,T-046,Build resource allocation query service with utilization calculations,,High,,Sprint 5,US-016,Backend Dev,"backend,api"
Task,T-047,Implement resource allocation board with utilization bars and availability indicators,,High,,Sprint 5,US-016,Frontend Dev,"frontend,ui"
Task,T-048,Test resource utilization calculation accuracy and filter functionality,,High,,Sprint 5,US-016,QA Engineer,"qa,testing"
Story,US-017,"As a Project Manager, I want to assign and reassign team members with conflict detection so that no one is overallocated","Allow managers to assign and reassign team members with automatic capacity conflict detection.",High,5,Sprint 6,EPIC-004,,"resource-management,assignment,conflict-detection"
Task,T-049,Build resource assignment service with capacity threshold conflict detection,,High,,Sprint 6,US-017,Backend Dev,"backend,api"
Task,T-050,Implement drag-and-drop assignment UI with overallocation warnings,,High,,Sprint 6,US-017,Frontend Dev,"frontend,ui"
Task,T-051,Test resource conflict detection edge cases and reassignment flows,,High,,Sprint 6,US-017,QA Engineer,"qa,testing"
Story,US-018,"As a Team Lead, I want to view capacity forecasting for the next 4-12 weeks so that I can plan future project staffing","Provide capacity forecasting showing projected team availability based on current project schedules.",Medium,5,Sprint 6,EPIC-004,,"resource-management,forecasting,planning"
Task,T-052,Build capacity forecasting engine using current schedule data with time window parameters,,Medium,,Sprint 6,US-018,Backend Dev,"backend,api"
Task,T-053,Implement capacity forecast chart with time window slider and team/skill/department filters,,Medium,,Sprint 6,US-018,Frontend Dev,"frontend,ui"
Task,T-054,Test forecast accuracy against manual calculations and filter functionality,,Medium,,Sprint 6,US-018,QA Engineer,"qa,testing"
Epic,EPIC-005,Document Management,"Project document repository with version control, in-browser preview, commenting/annotation, and client approval workflows.",High,,,,,"document-management"
Story,US-019,"As a Team Member, I want to upload, download, preview, and organize documents in project folders so that all project files are centralized","Provide document management repository with folder structures supporting upload, download, preview, and deletion.",High,8,Sprint 4,EPIC-005,,"document-management,upload,repository"
Task,T-055,Build document storage service (S3-compatible) with folder CRUD and permission checks,,High,,Sprint 4,US-019,Backend Dev,"backend,api"
Task,T-056,"Implement document manager UI with folder tree, upload progress, and in-browser preview",,High,,Sprint 4,US-019,Frontend Dev,"frontend,ui"
Task,T-057,Test document upload/download/preview/delete across file types and permissions,,High,,Sprint 4,US-019,QA Engineer,"qa,testing"
Story,US-020,"As a Project Manager, I want automatic version history for all documents so that I can view, compare, and restore previous versions","Maintain automatic version history for all uploaded documents with view, compare, and restore capabilities.",High,5,Sprint 4,EPIC-005,,"document-management,versioning,history"
Task,T-058,"Build document versioning engine with version history, comparison, and restore APIs",,High,,Sprint 4,US-020,Backend Dev,"backend,api"
Task,T-059,"Implement version history UI with list view, preview, and restore functionality",,High,,Sprint 4,US-020,Frontend Dev,"frontend,ui"
Task,T-060,"Test version creation, download, preview, and restore across file types",,High,,Sprint 4,US-020,QA Engineer,"qa,testing"
Story,US-021,"As a Team Member, I want to comment and annotate on documents so that I can provide feedback directly on deliverables","Support commenting and annotation on deliverables with threaded replies and notifications.",High,5,Sprint 5,EPIC-005,,"document-management,commenting,collaboration"
Task,T-061,"Build document comment service with threading, notifications, and permission enforcement",,High,,Sprint 5,US-021,Backend Dev,"backend,api"
Task,T-062,Implement document annotation and commenting overlay with threaded replies,,High,,Sprint 5,US-021,Frontend Dev,"frontend,ui"
Task,T-063,"Test commenting and annotation across browsers, user roles, and notification delivery",,High,,Sprint 5,US-021,QA Engineer,"qa,testing"
Story,US-022,"As a Project Manager, I want to submit deliverables for client approval through a formal workflow so that sign-offs are tracked","Provide a client approval workflow for deliverables with Submit, Approve, Reject, and Request Changes states.",High,5,Sprint 5,EPIC-005,,"document-management,approval,workflow"
Task,T-064,Build deliverable approval workflow engine with status transitions and notification triggers,,High,,Sprint 5,US-022,Backend Dev,"backend,api"
Task,T-065,Implement deliverable submission and approval UI flow with status indicators,,High,,Sprint 5,US-022,Frontend Dev,"frontend,ui"
Task,T-066,Test deliverable approval state transitions and edge cases,,High,,Sprint 5,US-022,QA Engineer,"qa,testing"
Epic,EPIC-006,Integrations,"Third-party integrations with QuickBooks, Slack, Google Calendar, Figma, and GitHub.",High,,,,,"integrations"
Story,US-023,"As a Finance Manager, I want finalized invoices to sync bi-directionally with QuickBooks so that our accounting system stays current","Integrate with QuickBooks for bi-directional invoice and payment status synchronization.",High,8,Sprint 6,EPIC-006,,"integration,quickbooks,invoicing"
Task,T-067,"Build QuickBooks API client with OAuth2 flow, invoice push, and payment status pull with retry queue",,High,,Sprint 6,US-023,Backend Dev,"backend,api,integration"
Task,T-068,Implement QuickBooks sync status dashboard with log viewer,,High,,Sprint 6,US-023,Frontend Dev,"frontend,ui"
Task,T-069,"Test QuickBooks sync data mapping, error handling, and retry behavior",,High,,Sprint 6,US-023,QA Engineer,"qa,testing,integration"
Story,US-024,"As a Team Member, I want to receive Slack notifications for project events so that I stay informed in my primary communication tool","Send configurable Slack notifications for project events to channels or DMs.",High,5,Sprint 6,EPIC-006,,"integration,slack,notifications"
Task,T-070,Build Slack webhook/bot integration with event routing and retry queue,,High,,Sprint 6,US-024,Backend Dev,"backend,api,integration"
Task,T-071,Implement Slack integration settings page with event-to-channel mapping,,High,,Sprint 6,US-024,Frontend Dev,"frontend,ui"
Task,T-072,Test Slack notification delivery per event type and retry behavior,,High,,Sprint 6,US-024,QA Engineer,"qa,testing,integration"
Story,US-025,"As a Project Manager, I want project deadlines and milestones to sync with Google Calendar so that schedules are visible in my calendar","Integrate with Google Calendar to sync project deadlines and milestone dates automatically.",Medium,5,Sprint 7,EPIC-006,,"integration,google-calendar,scheduling"
Task,T-073,"Build Google Calendar API integration with OAuth, event CRUD, and auto-sync on date changes",,Medium,,Sprint 7,US-025,Backend Dev,"backend,api,integration"
Task,T-074,Implement Google Calendar connection settings UI,,Medium,,Sprint 7,US-025,Frontend Dev,"frontend,ui"
Task,T-075,Test calendar sync accuracy and bi-directional update handling,,Medium,,Sprint 7,US-025,QA Engineer,"qa,testing,integration"
Story,US-026,"As a Team Member, I want to link Figma files to projects with preview thumbnails so that design assets are accessible from the platform","Provide Figma integration for linking files and embedding preview thumbnails.",Low,3,Sprint 7,EPIC-006,,"integration,figma,design"
Task,T-076,Build Figma oEmbed/API integration for URL validation and thumbnail generation,,Low,,Sprint 7,US-026,Backend Dev,"backend,api,integration"
Task,T-077,Implement Figma link input with preview embed in document view,,Low,,Sprint 7,US-026,Frontend Dev,"frontend,ui"
Task,T-078,"Test Figma URL validation, thumbnail rendering, and link navigation",,Low,,Sprint 7,US-026,QA Engineer,"qa,testing,integration"
Story,US-027,"As a Team Lead, I want to view GitHub commit activity and PR status within the project dashboard so that I can track development progress","Integrate with GitHub to display commit activity, branches, and PR status per project.",Low,3,Sprint 7,EPIC-006,,"integration,github,development"
Task,T-079,"Build GitHub API client for commit, branch, and PR data retrieval with OAuth",,Low,,Sprint 7,US-027,Backend Dev,"backend,api,integration"
Task,T-080,Implement GitHub activity widget for project dashboard,,Low,,Sprint 7,US-027,Frontend Dev,"frontend,ui"
Task,T-081,Test GitHub integration display accuracy and data refresh,,Low,,Sprint 7,US-027,QA Engineer,"qa,testing,integration"
Story,US-028,"As an Administrator, I want to configure the QuickBooks connection with OAuth, account mapping, and sync monitoring so that the integration runs reliably","Provide QuickBooks configuration interface with OAuth, account mapping, sync scheduling, and monitoring.",High,5,Sprint 6,EPIC-006,,"integration,quickbooks,configuration"
Task,T-082,Build QuickBooks OAuth configuration API with account mapping and schedule management,,High,,Sprint 6,US-028,Backend Dev,"backend,api,integration"
Task,T-083,"Implement QuickBooks admin configuration panel with OAuth, mapping, and sync logs",,High,,Sprint 6,US-028,Frontend Dev,"frontend,ui"
Task,T-084,"Test QuickBooks OAuth flow, account mapping persistence, and sync schedule execution",,High,,Sprint 6,US-028,QA Engineer,"qa,testing,integration"
Epic,EPIC-007,Reporting & Analytics,"Executive dashboards, project profitability reports, configurable report exports, NPS tracking, AI estimation, and advanced analytics.",Critical,,,,,"reporting,analytics"
Story,US-029,"As an Executive, I want an executive dashboard displaying five core KPIs so that I have real-time operational visibility","Provide executive dashboard with revenue/client, profitability, utilization, on-time delivery, and NPS KPIs.",Critical,8,Sprint 7,EPIC-007,,"reporting,dashboard,executive"
Task,T-085,Build executive dashboard aggregation queries for all five KPIs with drill-down data,,Critical,,Sprint 7,US-029,Backend Dev,"backend,api"
Task,T-086,Implement executive dashboard UI with drill-down charts using Chart.js or Recharts,,Critical,,Sprint 7,US-029,Frontend Dev,"frontend,ui"
Task,T-087,"Test executive dashboard data accuracy, drill-down functionality, and performance",,Critical,,Sprint 7,US-029,QA Engineer,"qa,testing"
Story,US-030,"As a Project Manager, I want project profitability reports with variance analysis so that I can identify budget overruns early","Provide project profitability reports comparing actual vs. budgeted with variance analysis.",Critical,8,Sprint 8,EPIC-007,,"reporting,profitability,analytics"
Task,T-088,Build report generation engine with variance calculations at project/client/portfolio levels,,Critical,,Sprint 8,US-030,Backend Dev,"backend,api"
Task,T-089,"Implement report builder UI with parameter selection, variance highlighting, and chart visualizations",,Critical,,Sprint 8,US-030,Frontend Dev,"frontend,ui"
Task,T-090,Test report calculation accuracy against raw data and export format validation,,Critical,,Sprint 8,US-030,QA Engineer,"qa,testing"
Story,US-031,"As an Administrator, I want to export reports in multiple formats and schedule automated delivery so that stakeholders receive reports regularly","Provide configurable report export (PDF, CSV, Excel) and scheduled email delivery.",High,5,Sprint 8,EPIC-007,,"reporting,export,scheduling"
Task,T-091,Build PDF/CSV/Excel export service and scheduled report cron with email delivery,,High,,Sprint 8,US-031,Backend Dev,"backend,api"
Task,T-092,Implement export buttons and schedule configuration dialog for reports,,High,,Sprint 8,US-031,Frontend Dev,"frontend,ui"
Task,T-093,"Test export format integrity (PDF rendering, CSV/Excel data accuracy) and scheduled delivery",,High,,Sprint 8,US-031,QA Engineer,"qa,testing"
Story,US-032,"As a Project Manager, I want to track and display NPS scores per project and client so that I can monitor client satisfaction trends","Track and display NPS scores with trend charts per project and client.",Medium,3,Sprint 8,EPIC-007,,"reporting,nps,client-satisfaction"
Task,T-094,Build NPS data model and aggregation service with trend calculations,,Medium,,Sprint 8,US-032,Backend Dev,"backend,api"
Task,T-095,Implement NPS entry form and trend chart with filtering,,Medium,,Sprint 8,US-032,Frontend Dev,"frontend,ui"
Task,T-096,Test NPS trend chart data accuracy and executive dashboard integration,,Medium,,Sprint 8,US-032,QA Engineer,"qa,testing"
Story,US-033,"As a Project Manager, I want AI-powered project estimation based on historical data so that I can plan new projects more accurately","Phase 2 stub: AI estimation with historical data collection hooks and feature flag.",Low,3,Sprint 9,EPIC-007,,"reporting,ai,estimation,phase-2"
Task,T-097,Implement historical data collection hooks and feature flag for AI estimation stub,,Low,,Sprint 9,US-033,Backend Dev,"backend,api"
Task,T-098,Build Phase 2 placeholder UI for AI estimation with data collection status,,Low,,Sprint 9,US-033,Frontend Dev,"frontend,ui"
Task,T-099,Verify data collection hooks capture necessary fields for future model training,,Low,,Sprint 9,US-033,QA Engineer,"qa,testing"
Story,US-034,"As an Executive, I want advanced analytics with trend analysis and predictive scoring so that I can make data-driven strategic decisions","Phase 2 stub: Advanced analytics data pipeline foundations and feature flag.",Low,3,Sprint 9,EPIC-007,,"reporting,analytics,advanced,phase-2"
Task,T-100,Build advanced analytics data pipeline foundations and feature flag stub,,Low,,Sprint 9,US-034,Backend Dev,"backend,api"
Task,T-101,Build Phase 2 placeholder UI for advanced analytics with pipeline status,,Low,,Sprint 9,US-034,Frontend Dev,"frontend,ui"
Task,T-102,Verify data pipeline foundations capture and store metrics for future analytics,,Low,,Sprint 9,US-034,QA Engineer,"qa,testing"
Epic,EPIC-008,Security & Access Control,"Role-based access control, two-factor authentication, audit trails, client data isolation, SSO, password policies, and session management.",Critical,,,,,"security,access-control"
Story,US-035,"As an Administrator, I want to define and enforce RBAC with 7 predefined roles so that each user sees only what they are authorized to access","Implement RBAC with Administrator, Executive, Project Manager, Team Lead, Team Member, Finance Manager, and Client User roles.",Critical,8,Sprint 1,EPIC-008,,"security,rbac,permissions,core"
Task,T-103,"Build RBAC engine with 7 roles, permission matrix, and middleware enforcement",,Critical,,Sprint 1,US-035,Backend Dev,"backend,security"
Task,T-104,Implement role management UI and permission matrix display in admin panel,,Critical,,Sprint 1,US-035,Frontend Dev,"frontend,ui"
Task,T-105,Test RBAC permission matrix validation across all 7 roles and edge cases,,Critical,,Sprint 1,US-035,QA Engineer,"qa,testing,security"
Story,US-036,"As a User, I want to set up mandatory two-factor authentication so that my account is protected against unauthorized access","Enforce mandatory 2FA for all users supporting TOTP and SMS verification.",Critical,5,Sprint 1,EPIC-008,,"security,2fa,authentication"
Task,T-106,Build 2FA service with TOTP (speakeasy) and SMS (Twilio) support including admin reset,,Critical,,Sprint 1,US-036,Backend Dev,"backend,security"
Task,T-107,Implement 2FA setup wizard with QR code generation and SMS verification flow,,Critical,,Sprint 1,US-036,Frontend Dev,"frontend,ui"
Task,T-108,"Test 2FA enrollment, login flow, bypass attempts, and admin reset functionality",,Critical,,Sprint 1,US-036,QA Engineer,"qa,testing,security"
Story,US-037,"As an Administrator, I want comprehensive audit trails of all user actions so that we can meet SOC2 compliance requirements","Maintain immutable audit trails logging all user actions with timestamps and before/after values.",Critical,8,Sprint 1,EPIC-008,,"security,audit-trail,compliance,soc2"
Task,T-109,Build audit trail event system with immutable log storage and search/export APIs,,Critical,,Sprint 1,US-037,Backend Dev,"backend,security"
Task,T-110,"Implement audit log viewer in admin panel with search, filter, and export functionality",,Critical,,Sprint 1,US-037,Frontend Dev,"frontend,ui"
Task,T-111,"Test audit log completeness, immutability, search accuracy, and export integrity",,Critical,,Sprint 1,US-037,QA Engineer,"qa,testing,security"
Story,US-038,"As a Client User, I want strict data isolation so that I can never see another client's data","Ensure strict client data isolation with tenant-filtered queries and no cross-client data leakage.",Critical,5,Sprint 1,EPIC-008,,"security,data-isolation,multi-tenancy"
Task,T-112,Implement tenant-scoped query filters across all data access layers,,Critical,,Sprint 1,US-038,Backend Dev,"backend,security"
Task,T-113,Ensure all UI data-fetching passes tenant context and handles isolation errors gracefully,,Critical,,Sprint 1,US-038,Frontend Dev,"frontend,ui"
Task,T-114,Execute cross-tenant penetration tests and data isolation validation,,Critical,,Sprint 1,US-038,QA Engineer,"qa,testing,security"
Story,US-039,"As an Internal User, I want to log in using my Google Workspace credentials via SSO so that I do not need a separate password","Support SSO with Google Workspace using SAML 2.0 or OIDC with email/password fallback.",High,5,Sprint 7,EPIC-008,,"security,sso,google-workspace"
Task,T-115,Build SSO service with SAML 2.0/OIDC for Google Workspace with email/password fallback,,High,,Sprint 7,US-039,Backend Dev,"backend,security"
Task,T-116,Implement SSO login button and admin SSO configuration UI,,High,,Sprint 7,US-039,Frontend Dev,"frontend,ui"
Task,T-117,"Test SSO authentication flow, first-time provisioning, fallback, and edge cases",,High,,Sprint 7,US-039,QA Engineer,"qa,testing,security"
Story,US-040,"As a User, I want enforced password policies so that account security meets organizational standards","Enforce password policies: 12-char minimum, complexity, 90-day expiry, prevent reuse of last 10.",High,3,Sprint 1,EPIC-008,,"security,password-policy,compliance"
Task,T-118,"Build password policy engine with complexity, expiry, and reuse prevention logic",,High,,Sprint 1,US-040,Backend Dev,"backend,security"
Task,T-119,Implement password change flow with real-time complexity indicator and expiry warnings,,High,,Sprint 1,US-040,Frontend Dev,"frontend,ui"
Task,T-120,"Test password policy enforcement including all complexity rules, expiry, and reuse prevention",,High,,Sprint 1,US-040,QA Engineer,"qa,testing,security"
Story,US-041,"As a User, I want automatic session timeout with a warning before expiry so that idle sessions do not pose a security risk","Implement 30-minute session timeout with 5-minute warning prompt and session extension option.",High,3,Sprint 1,EPIC-008,,"security,session,timeout"
Task,T-121,Build session management service with inactivity tracking and timeout logic,,High,,Sprint 1,US-041,Backend Dev,"backend,security"
Task,T-122,Implement session timeout warning modal with countdown and extend session button,,High,,Sprint 1,US-041,Frontend Dev,"frontend,ui"
Task,T-123,"Test session timeout at 30 minutes, warning at 25 minutes, and session extension",,High,,Sprint 1,US-041,QA Engineer,"qa,testing,security"
Epic,EPIC-009,Platform & UX,"Responsive web application, global search, in-app notification center, and mobile app (Phase 2).",High,,,,,"platform,ux"
Story,US-042,"As a User, I want the application to work responsively across desktop and tablet browsers so that I can use it on any supported device","Deliver a responsive web application on Chrome, Firefox, Safari, Edge with minimum 768px viewport.",High,5,Sprint 8,EPIC-009,,"platform,responsive,cross-browser"
Task,T-124,Audit and fix responsive layout across all breakpoints (768px-1920px),,High,,Sprint 8,US-042,Frontend Dev,"frontend,ui,responsive"
Task,T-125,"Execute cross-browser responsive testing matrix (Chrome, Firefox, Safari, Edge)",,High,,Sprint 8,US-042,QA Engineer,"qa,testing,responsive"
Task,T-126,Ensure all API responses work correctly with responsive UI components,,High,,Sprint 8,US-042,Backend Dev,"backend,api"
Story,US-043,"As an Internal User, I want a global search across projects, tasks, documents, and clients so that I can quickly find anything","Provide global search with autocomplete and RBAC-filtered results across all resource types.",Medium,5,Sprint 8,EPIC-009,,"platform,search,ux"
Task,T-127,"Build full-text search index across projects, tasks, documents, clients with RBAC filtering",,Medium,,Sprint 8,US-043,Backend Dev,"backend,api,search"
Task,T-128,Implement global search bar with autocomplete and categorized result display,,Medium,,Sprint 8,US-043,Frontend Dev,"frontend,ui"
Task,T-129,"Test search relevance, RBAC filtering accuracy, and performance under load",,Medium,,Sprint 8,US-043,QA Engineer,"qa,testing"
Story,US-044,"As a User, I want an in-app notification center so that I can see real-time updates for task assignments, deadlines, and messages","Provide real-time in-app notification center with categorization and configurable preferences.",Medium,5,Sprint 8,EPIC-009,,"platform,notifications,real-time"
Task,T-130,Build WebSocket notification service with event dispatching and user preference management,,Medium,,Sprint 8,US-044,Backend Dev,"backend,api"
